team...1,season,name,team...4,position,situation,games_played,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penaltyMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penaltyMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
NYI,2010,NYI,NYI,Team Level,other,82,0.46,0.49,0.49,10534,166.32,27.86,11.77,33.23,6.06,88.41,61.67,26.26,27.86,26.26,167,62,86,315,33,14,6,33,4,69,76,134,196,25,73,155,37,44,35,135,54,40,4.6,7.05,16.21,4,9,20,315,229,229,17,3.36,4.53,5.13,26.1,26.1,25.05,170.92,33.02,11.39,33.11,6.15,91.05,65.28,29.56,33.02,29.56,160,80,89,329,33,6,3,44,10,76,71,127,207,17,62,173,48,36,40,135,59,46,4.3,7.03,21.69,8,8,17,329,240,240,13,3.31,2.38,1.55,34.78,34.78,31.38
NYI,2010,NYI,NYI,Team Level,all,82,0.47,0.47,0.47,300787,2359.15,230.93,163.43,523.52,79.77,1291.53,1020.81,221.38,229.88,220.35,2409,901,1203,4513,225,183,49,569,68,989,1276,2184,3085,435,1175,2438,1808,876,757,2436,643,231,69.51,79.49,81.92,62,79,84,4472.98,3310,3284.67,397,36.3,44.54,45.4,221.82,220.99,215.51,2655.45,257.92,182.43,597.24,88.36,1468.13,1123.92,246.06,259.68,247.8,2620,1098,1387,5105,258,210,57,624,110,1127,1389,2362,3460,431,1174,2424,1593,754,766,2782,679,257,81.35,82.19,94.37,88,77,93,5149.27,3718,3752.08,358,40.29,47.8,48.21,250,251.43,243.73
NYI,2010,NYI,NYI,Team Level,5on5,82,0.46,0.46,0.46,233494,1747.33,145.75,114.39,406.22,58.51,959.3,772.84,141.46,144.7,140.44,1776,681,908,3365,140,126,34,445,46,744,956,1636,2317,359,981,1775,1663,675,584,1882,452,123,54.67,55.47,35.61,49,56,35,3324.98,2457,2431.67,332,23.51,27.41,27.84,141.44,140.59,138.56,2029.02,169.95,134.43,474.8,67.6,1113.72,873.5,165.29,171.71,167.03,1992,842,1091,3925,175,167,44,487,78,855,1072,1817,2659,358,980,1746,1394,584,583,2178,508,148,65.33,61.73,42.88,72,56,47,3969.27,2834,2868.08,292,27.68,35.72,36.09,161.54,162.97,160.77
NYI,2010,NYI,NYI,Team Level,4on5,82,0.17,0.15,0.17,28505,80.02,9.83,4.26,10.59,2.65,22.04,63.64,9.64,9.83,9.64,90,23,19,132,11,5,0,8,3,16,70,79,102,30,75,254,67,111,45,72,25,16,1.8,3.23,4.8,5,2,4,132,113,113,39,0.99,1.25,1.25,9.56,9.56,9.55,394.53,48.91,33.69,81.91,12.9,246.59,133.01,45.4,48.91,45.4,398,159,183,740,44,33,9,86,17,190,187,354,513,34,80,263,41,32,92,407,95,55,10.19,11.25,27.46,7,10,27,740,557,557,11,8.61,8.78,9.65,47.86,47.86,45.77
NYI,2010,NYI,NYI,Team Level,5on4,82,0.89,0.86,0.85,28254,365.48,47.47,33.03,73.48,12.56,221.79,122.66,44.02,47.47,44.02,376,135,190,701,41,38,9,83,15,160,174,335,470,21,46,254,41,46,93,347,112,52,8.44,13.74,25.29,4,12,25,701,511,511,9,8.46,11.36,11.19,44.73,44.73,42.36,60.97,6.03,2.94,7.42,1.7,16.78,52.13,5.8,6.03,5.8,70,17,24,111,6,4,1,7,5,6,59,64,81,22,52,242,110,102,51,62,17,8,1.52,2.16,2.35,1,3,2,111,87,87,42,0.68,0.91,0.91,5.81,5.81,5.79
CAR,2010,CAR,CAR,Team Level,other,82,0.51,0.5,0.48,14131,168.69,27.15,12.24,32.1,5.53,93.93,62.11,25.99,27.15,25.99,170,64,83,317,31,10,4,30,8,76,79,139,203,13,26,154,66,33,26,135,69,30,5.1,8.66,13.39,6,13,12,317,234,234,7,3.55,4.08,4.08,26.56,26.56,25.6,183.64,26.31,12.37,36.73,6.24,97.48,73.87,24.98,26.31,24.98,184,69,70,323,26,17,1,32,12,81,85,158,227,17,34,174,56,32,33,163,55,35,5.25,6.58,14.48,7,9,10,323,253,253,17,3.44,4.75,4.73,25.02,25.02,24.41
CAR,2010,CAR,CAR,Team Level,all,82,0.49,0.49,0.48,299802,2582.77,239.25,174.66,579.09,82.49,1414.07,1066.82,232.05,239.24,232.04,2517,1045,1373,4935,231,182,35,533,82,1191,1343,2286,3331,332,771,2192,2128,705,594,2615,721,226,73.81,87.78,77.66,57,93,81,4919.51,3562,3552.17,331,38.68,43.74,44.02,233.52,233.47,229.12,2812.9,248.81,194.23,631.48,90.88,1536.82,1175,240.1,250.34,241.58,2725,1155,1203,5083,234,213,41,593,91,1247,1502,2491,3646,411,898,2721,1696,647,630,2922,743,215,86.76,89.93,72.1,65,90,79,5109.47,3880,3901.69,367,42.81,42.82,43.64,247.78,248.84,243.01
CAR,2010,CAR,CAR,Team Level,5on5,82,0.48,0.49,0.48,230124,1955.9,159.97,125.15,457.14,62.19,1054.41,828.47,155.58,159.95,155.57,1881,811,1063,3755,149,135,18,414,63,892,1039,1732,2543,284,673,1583,1925,546,452,2030,526,136,57.45,63.93,38.59,45,67,37,3739.51,2692,2682.17,283,25.84,29.89,30.22,155.26,155.2,152.85,2157.53,172.93,142.06,502.45,69.58,1168.82,906.28,168.38,174.47,169.86,2074,890,947,3911,157,157,31,479,70,928,1173,1917,2807,346,767,1995,1509,474,490,2262,572,130,68.45,69.21,35.27,47,66,44,3937.47,2964,2985.69,302,29.3,30.33,30.97,171.14,172.21,169.54
CAR,2010,CAR,CAR,Team Level,4on5,82,0.15,0.13,0.13,24356,62.28,7.77,3.22,7.78,1.66,17.16,42.4,7.7,7.77,7.7,64,16,25,105,4,1,0,9,1,20,45,60,76,11,24,191,85,76,34,48,19,13,1.53,2.45,3.79,0,2,2,105,80,80,29,0.74,0.06,0,8.51,8.51,8.42,399.73,43,36.65,82.19,12.93,249.37,133.94,40.28,43,40.28,393,166,165,724,46,32,8,77,6,224,174,347,513,28,57,257,29,44,63,415,101,43,10.57,12.31,20.11,9,13,24,724,559,559,9,9.32,6.14,6.5,45.75,45.75,43.25
CAR,2010,CAR,CAR,Team Level,5on4,82,0.87,0.86,0.84,31191,395.9,44.35,34.04,82.07,13.12,248.57,133.84,42.78,44.35,42.78,402,154,202,758,47,36,13,80,10,203,180,355,509,24,48,264,52,50,82,402,107,47,9.73,12.74,21.89,6,11,30,758,556,556,12,8.55,9.71,9.71,43.19,43.19,42.25,72.01,6.57,3.15,10.09,2.12,21.15,60.91,6.45,6.57,6.45,74,30,21,125,5,7,1,5,3,14,70,69,99,20,40,295,102,97,44,82,15,7,2.49,1.83,2.24,2,2,1,125,104,104,39,0.74,1.6,1.45,5.86,5.86,5.8
