team...1,season,name,team...4,position,situation,games_played,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penaltyMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penaltyMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
COL,2012,COL,COL,Team Level,other,48,0.36,0.45,0.47,5211,88.97,11.19,6.36,18.27,3.26,48.06,32.87,10.62,11.19,10.62,91,29,32,152,13,7,1,17,4,34,45,78,107,4,8,86,22,13,13,74,32,14,2.5,3.79,4.9,3,2,8,152,120,120,7,1.81,1.77,1.77,11.23,11.23,10.87,99.87,20.09,7.35,18.65,3.27,50.47,35.18,18.97,20.09,18.97,106,29,49,184,20,13,3,12,2,38,50,86,115,1,2,73,24,8,12,72,36,27,2.16,4.71,13.22,2,7,11,184,135,135,8,2.17,3.96,3.96,18.31,18.31,17.82
COL,2012,COL,COL,Team Level,all,48,0.46,0.47,0.48,175828,1371.53,115.47,95.2,313.61,44.85,768.97,584.91,111.54,114.59,110.69,1415,508,660,2583,114,111,23,367,38,557,736,1301,1809,220,510,1449,1241,405,349,1484,327,112,40.63,38.72,36.11,37,33,44,2534.89,1923,1895.97,191,20.85,25.26,25.42,110.89,110.09,108.16,1505.69,137.54,109.16,341.73,49.02,842.68,619.87,132.37,139.26,134.07,1508,592,783,2883,150,129,27,327,45,666,783,1358,1950,178,426,1388,901,399,321,1582,394,124,44.92,48.37,44.25,47,55,48,2950.19,2100,2140.55,168,24.26,29.11,29.36,132.42,133.97,131.53
COL,2012,COL,COL,Team Level,5on5,48,0.49,0.49,0.49,140324,1089.05,84.2,71.92,257.11,35.21,608.65,468.92,81.54,83.32,80.68,1118,408,548,2074,79,86,18,298,28,436,599,1039,1447,195,457,1095,1144,336,265,1194,260,72,32.88,30.54,20.78,31,24,24,2025.89,1526,1498.97,160,14.79,18.43,18.59,80.4,79.6,78.49,1134.48,88.33,76.97,266.36,36.55,633.05,481.75,85.92,90.06,87.61,1131,452,591,2174,97,81,15,264,39,496,606,1034,1486,161,389,1043,812,345,253,1239,286,58,36.43,34.61,17.3,40,40,17,2241.19,1583,1623.56,143,15.83,18.35,18.54,85.63,87.17,86.02
COL,2012,COL,COL,Team Level,4on5,48,0.1,0.1,0.11,17199,30.52,2.93,1.56,3.62,0.86,8.64,26.4,2.89,2.93,2.89,36,8,9,53,3,1,1,5,1,5,29,33,41,12,27,143,60,44,20,33,7,4,0.77,1.03,1.13,0,2,1,53,44,44,17,0.36,0.29,0.29,3,3,2.99,242.43,26.35,23.43,52.57,8.4,150.7,79.56,24.74,26.35,24.74,240,101,134,475,30,33,9,48,3,128,99,210,311,10,23,156,21,12,41,239,68,34,5.39,8.55,12.4,3,8,19,475,341,341,3,5.93,6.39,6.46,25.82,25.82,25.03
COL,2012,COL,COL,Team Level,5on4,48,0.86,0.86,0.85,13094,163,17.14,15.37,34.61,5.53,103.63,56.72,16.5,17.14,16.5,170,63,71,304,19,17,3,47,5,82,63,151,214,9,18,125,15,12,51,183,28,22,4.47,3.36,9.3,3,5,11,304,233,233,7,3.89,4.77,4.77,16.27,16.27,15.81,28.92,2.76,1.42,4.15,0.81,8.47,23.38,2.74,2.76,2.74,31,10,9,50,3,2,0,3,1,4,28,28,38,6,12,116,44,34,15,32,4,5,0.94,0.49,1.33,2,0,1,50,41,41,14,0.32,0.41,0.41,2.67,2.67,2.67
DAL,2012,DAL,DAL,Team Level,other,48,0.44,0.47,0.45,5770,67.94,12.07,5.03,13.2,2.23,36.2,24.27,11.5,12.07,11.5,57,36,41,134,9,6,2,11,1,38,28,48,84,10,23,60,30,14,19,57,20,16,1.86,2.6,7.61,0,4,5,134,93,93,6,1.47,1.94,1.94,11.61,11.61,11.23,82.95,15.15,6.01,16.04,2.89,43.96,29.95,14.61,15.15,14.61,83,31,36,150,17,6,2,11,3,38,39,66,97,4,13,99,22,13,11,52,44,18,1.65,5.51,7.99,2,5,10,150,114,114,6,1.8,1.07,0.95,16.01,16.01,15.53
DAL,2012,DAL,DAL,Team Level,all,48,0.45,0.48,0.46,174366,1327.25,121.92,93.88,302.7,43.65,730.44,547.41,117.19,121.95,117.24,1261,579,737,2577,128,102,23,279,47,620,664,1133,1712,226,535,1356,1199,327,423,1359,367,114,37.37,46.7,37.83,41,46,41,2574.15,1840,1840.78,210,20.83,20.78,21.01,121.73,121.78,119.05,1532.18,149.46,108.19,342.01,48.63,852.22,618.48,142.37,150.29,143.12,1489,630,671,2790,141,122,30,360,45,722,729,1348,1978,226,536,1519,1200,327,356,1576,383,160,43.58,47.53,58.36,42,41,58,2798.81,2119,2126.13,186,24.18,28.22,28.75,144.89,145.66,142.07
DAL,2012,DAL,DAL,Team Level,5on5,48,0.47,0.49,0.47,136661,1019.83,81.78,67.57,242.13,33.54,559.36,424.64,79.09,81.81,79.14,973,436,583,1992,92,78,18,221,38,461,519,881,1317,191,453,1042,1079,266,341,1076,269,64,30.16,34.41,17.21,36,34,22,1989.15,1409,1409.78,179,13.95,15.63,15.68,80.05,80.1,78.99,1140.88,93.11,76.46,266.6,36.25,635.19,471.39,89.48,93.94,90.22,1114,465,505,2084,92,91,19,283,37,525,551,1022,1487,186,439,1068,1089,256,277,1218,274,87,34.72,34.11,24.29,38,31,23,2092.81,1579,1586.13,154,15.75,18.24,18.71,90.15,90.92,89.37
DAL,2012,DAL,DAL,Team Level,4on5,48,0.1,0.11,0.13,15998,36.04,4.06,1.88,4.82,1.08,9.83,32.34,3.93,4.06,3.93,36,18,7,61,2,3,0,6,2,6,35,34,52,13,35,118,61,33,21,37,11,6,0.63,1.44,1.98,1,0,1,61,54,54,20,0.44,0.94,0.94,3.56,3.56,3.56,264.34,37.09,23.6,53.54,8.28,160.65,84.84,34.24,37.09,34.24,254,114,117,485,29,23,8,61,3,148,104,225,339,22,56,198,26,9,47,265,53,50,5.96,6.42,24.71,2,4,23,485,368,368,9,6.15,8.59,8.77,34.47,34.47,32.93
DAL,2012,DAL,DAL,Team Level,5on4,48,0.85,0.85,0.83,15937,203.44,24,19.39,42.57,6.81,125.06,66.17,22.67,24,22.67,195,89,106,390,25,15,3,41,6,115,82,170,259,12,24,136,29,14,42,189,67,28,4.72,8.25,11.04,4,8,13,390,284,284,5,4.96,2.27,2.46,26.5,26.5,25.27,44.01,4.11,2.12,5.84,1.2,12.43,32.31,4.05,4.11,4.05,38,20,13,71,3,2,1,5,2,11,35,35,55,14,28,154,63,49,21,41,12,5,1.24,1.49,1.37,0,1,2,71,58,58,17,0.48,0.32,0.32,4.27,4.27,4.25
CGY,2012,CGY,CGY,Team Level,other,48,0.56,0.49,0.49,5877,51.42,11.02,3.73,9.12,1.71,29.61,17.81,10.59,11.02,10.59,51,22,29,102,14,5,0,5,0,25,24,37,59,1,2,52,13,12,14,40,19,14,1.37,2.14,7.52,2,2,10,102,73,73,6,1.13,1.25,1.25,10.9,10.9,10.8,54.42,8.58,3.84,10.16,1.85,30.38,21.18,8.04,8.58,8.04,59,17,29,105,10,3,1,15,5,26,17,49,66,2,4,70,19,12,6,51,12,13,1.66,1.41,5.51,0,3,7,105,76,76,4,1.13,1.09,1.09,8.62,8.62,8.31
CGY,2012,CGY,CGY,Team Level,all,48,0.48,0.48,0.48,174070,1295.1,119.05,89.61,294.03,43,730.26,535.05,115.22,118.4,114.59,1293,518,629,2440,128,78,19,304,31,585,685,1165,1683,186,442,1403,935,342,418,1337,369,105,37.9,45.12,36.03,33,51,44,2417.97,1811,1800.15,228,19.63,18.89,19.46,119.21,118.58,116.78,1424.67,126.46,98.21,330.28,45.67,797.14,581.24,121.83,127.59,122.94,1413,566,699,2678,157,104,31,363,27,643,686,1256,1822,190,451,1605,892,333,410,1509,339,131,40.68,41.07,44.7,42,56,59,2708.5,1979,1995.07,272,21.45,23.15,24.95,122.97,123.88,121.49
CGY,2012,CGY,CGY,Team Level,5on5,48,0.48,0.47,0.47,139996,1042.14,85.08,69.07,245.02,34.85,582.09,439.91,82.72,84.43,82.08,1045,411,504,1960,83,63,15,256,26,457,571,962,1373,166,396,1115,858,282,340,1092,299,65,31.63,36.54,16.91,25,40,18,1937.97,1456,1445.15,197,14.2,13.74,14.01,85.27,84.63,83.59,1160.43,90.6,75.96,277.65,37.19,645.36,482.23,87.82,91.73,88.93,1138,471,568,2177,121,85,28,291,18,523,572,1017,1488,168,404,1237,820,276,318,1250,278,81,33.78,33.7,23.12,38,48,35,2207.5,1609,1625.07,221,15.62,17.44,19.11,87.12,88.03,86.68
CGY,2012,CGY,CGY,Team Level,4on5,48,0.08,0.11,0.11,13941,25.12,2.21,1.19,3.34,0.71,7.83,17.72,2.21,2.21,2.21,24,9,10,43,5,0,0,6,0,3,19,19,28,8,16,105,39,36,17,23,9,1,0.67,1.33,0.22,3,2,0,43,33,33,17,0.28,0,0,2.5,2.5,2.5,186.79,24.75,17.21,39.26,5.91,114.82,60.04,23.49,24.75,23.49,195,67,97,359,25,15,2,55,3,89,75,170,237,9,18,171,22,7,41,185,45,32,4.69,5.43,14.64,4,4,17,359,262,262,3,4.43,4.3,4.43,24.76,24.76,24.04
CGY,2012,CGY,CGY,Team Level,5on4,48,0.89,0.9,0.89,14256,176.42,20.75,15.62,36.56,5.74,110.73,59.61,19.7,20.75,19.7,173,76,86,335,26,10,4,37,5,100,71,147,223,11,28,131,25,12,47,182,42,25,4.25,5.12,11.38,3,7,16,335,249,249,8,4.02,3.91,4.21,20.55,20.55,19.9,23.04,2.52,1.19,3.19,0.71,6.59,17.79,2.48,2.52,2.48,21,11,5,37,1,1,0,2,1,5,22,20,31,11,25,127,31,38,45,23,4,5,0.56,0.54,1.43,0,1,0,37,32,32,44,0.27,0.32,0.32,2.47,2.47,2.47
CHI,2012,CHI,CHI,Team Level,other,48,0.62,0.52,0.53,5993,95.56,16.7,5.92,19.02,3.14,46.45,38.77,16.25,16.7,16.25,101,29,32,162,18,9,3,18,6,38,41,83,112,4,8,97,16,28,14,87,21,22,2.86,2.59,11.25,3,5,10,162,130,130,9,1.65,2.68,2.68,15.67,15.67,15.55,84.7,10.18,6.46,17.3,3.01,46.61,32.45,9.56,10.18,9.56,86,30,35,151,6,8,2,16,7,36,43,80,110,8,16,75,30,16,15,76,30,10,2.61,3.77,3.81,1,2,3,151,116,116,8,1.79,1.77,1.99,9.98,9.98,9.58
CHI,2012,CHI,CHI,Team Level,all,48,0.53,0.53,0.54,176725,1446.34,123.02,100.67,325.87,46.22,800.59,597.64,119.74,124.77,121.43,1494,500,692,2686,149,86,26,345,45,598,771,1345,1845,179,408,1436,840,467,345,1534,362,98,44.07,44.12,34.84,56,46,47,2748.41,1994,2037.03,236,21.91,19.18,19.18,125.75,127.34,125.69,1223.42,110.09,85.92,275.2,39.66,679.42,502.72,106.13,109.35,105.43,1258,435,652,2345,97,84,21,258,33,515,706,1161,1596,183,430,1392,1365,322,330,1274,316,103,36.44,38.28,35.36,29,32,36,2305.34,1693,1667.6,218,19.03,19.9,20.64,108.48,107.71,105.58
CHI,2012,CHI,CHI,Team Level,5on5,48,0.53,0.54,0.55,142156,1143.73,87.92,76.86,266.87,36.56,635.27,473.5,85.79,89.67,87.48,1179,398,540,2117,107,66,20,284,34,470,616,1072,1470,162,365,1095,783,363,281,1228,290,59,35.49,35.11,17.33,47,33,27,2179.41,1577,1620.03,196,15.82,14.27,14.27,89.47,91.06,89.97,936.47,77.02,63.13,217.58,30.27,516.04,386.97,74.64,76.29,73.94,966,325,503,1794,68,63,16,210,26,391,533,898,1223,156,368,1072,1245,266,271,979,247,65,28.73,29.86,18.42,24,24,20,1754.34,1291,1265.6,190,13.09,14.68,14.97,75.14,74.37,73.5
CHI,2012,CHI,CHI,Team Level,4on5,48,0.15,0.15,0.17,13520,39.53,3.52,1.79,5.69,1.16,11.28,28.56,3.32,3.52,3.32,40,12,8,60,5,3,1,7,1,3,33,35,47,7,17,110,24,63,28,40,7,5,1.07,1,1.44,2,1,2,60,52,52,28,0.41,0.71,0.71,3.23,3.23,3.21,173.31,19.61,14.74,36.83,5.64,108.6,61.59,18.74,19.61,18.74,176,71,104,351,18,11,2,30,0,84,104,158,229,13,31,133,20,12,25,192,32,23,4.41,3.67,11.53,2,5,11,351,247,247,2,3.78,2.94,3.17,20.22,20.22,19.38
CHI,2012,CHI,CHI,Team Level,5on4,48,0.82,0.88,0.86,15056,167.51,14.88,16.1,34.29,5.35,107.58,56.8,14.38,14.88,14.38,174,61,112,347,19,8,2,36,4,87,81,155,216,6,18,134,17,13,22,179,44,12,4.65,5.42,4.82,4,7,8,347,235,235,3,4.03,1.52,1.52,17.38,17.38,16.96,28.95,3.27,1.59,3.48,0.76,8.17,21.71,3.19,3.27,3.19,30,9,10,49,5,2,1,2,0,4,26,25,34,6,15,112,70,28,19,27,7,5,0.68,0.98,1.61,2,1,2,49,39,39,18,0.38,0.51,0.51,3.14,3.14,3.11
BOS,2012,BOS,BOS,Team Level,other,48,0.52,0.53,0.52,5936,89.91,17.97,5.42,17,2.79,44.67,37.15,17.2,17.97,17.2,83,42,46,171,15,4,2,23,3,38,42,68,110,6,12,95,28,22,14,75,24,26,2.57,2.86,12.53,3,2,10,171,125,125,4,1.47,0.75,0.75,18.69,18.69,17.92,83.79,16.55,5.98,14.94,2.69,44.58,30.25,16.31,16.55,16.31,85,30,38,153,13,3,2,12,2,34,51,72,102,9,16,73,32,14,14,61,34,20,1.87,4,10.68,1,2,10,153,115,115,4,1.7,0.88,1.43,16.83,16.83,16.67
BOS,2012,BOS,BOS,Team Level,all,48,0.53,0.53,0.53,175385,1551.7,139.98,100.93,357.07,51.07,850.02,668.94,135.66,141.25,136.91,1557,611,761,2929,127,90,25,364,53,711,823,1430,2041,210,520,1605,1200,278,402,1624,416,128,46.58,49.29,44.1,39,42,46,2971.05,2168,2195.81,181,21.82,19.55,20.37,141.43,142.67,140.03,1373.85,126.66,92.84,311.25,44.37,756.33,565.56,123.32,125.97,122.65,1374,523,650,2547,106,68,19,349,46,577,751,1268,1791,168,435,1241,1289,320,427,1411,365,121,39.75,44.22,42.7,34,29,43,2512.45,1897,1878.54,234,20.43,13.93,15.91,131.2,130.47,128.14
BOS,2012,BOS,BOS,Team Level,5on5,48,0.53,0.54,0.54,142306,1253.82,98.18,79.69,300.67,41.68,694.38,538.4,95.49,99.46,96.74,1260,493,641,2394,93,79,22,300,41,572,668,1167,1660,181,456,1233,1088,224,329,1346,332,75,38.46,39.3,20.42,33,35,25,2436.05,1753,1780.81,153,16.34,17,17.19,97.34,98.57,97.29,1086.83,87.21,70.11,257.58,35.26,590.64,451.2,85.06,86.52,84.39,1088,404,519,2011,74,59,16,299,35,449,576,1014,1418,141,376,970,1168,267,344,1133,281,78,32.21,34.08,20.91,29,23,22,1976.45,1492,1473.54,208,14.45,12.57,14,87.67,86.94,85.79
BOS,2012,BOS,BOS,Team Level,4on5,48,0.23,0.18,0.22,15470,52.05,5.97,2.59,6.51,1.46,14.71,40.77,5.74,5.97,5.74,56,16,5,77,3,3,1,5,1,20,40,53,69,10,20,152,61,24,24,47,18,7,1.15,2.35,2.46,1,1,1,77,72,72,19,0.6,0.98,0.98,5.59,5.59,5.57,178.23,20.27,15.43,35.64,5.71,114.48,62.46,19.32,20.27,19.32,169,85,86,340,17,6,1,33,9,89,100,152,237,11,23,131,32,15,50,190,43,21,4.77,5.09,10.42,4,3,10,340,254,254,7,3.98,0.48,0.48,23.77,23.77,22.76
BOS,2012,BOS,BOS,Team Level,5on4,48,0.87,0.87,0.86,11673,155.93,17.86,13.23,32.88,5.14,96.27,52.63,17.23,17.86,17.23,158,60,69,287,16,4,0,36,8,81,73,142,202,13,32,125,23,8,35,156,42,20,4.39,4.78,8.69,2,4,10,287,218,218,5,3.4,0.81,1.45,19.81,19.81,19.25,24.99,2.63,1.32,3.09,0.7,6.62,21.64,2.63,2.63,2.63,32,4,7,43,2,0,0,5,0,5,24,30,34,7,20,67,57,24,19,27,7,2,0.9,1.05,0.68,0,1,1,43,36,36,15,0.3,0,0,2.93,2.93,2.93
PIT,2012,PIT,PIT,Team Level,other,48,0.64,0.53,0.54,6747,90.09,20.5,6.13,15.79,3.06,50.93,29.58,19.46,20.5,19.46,87,39,39,165,20,4,1,18,1,52,31,67,106,4,8,90,27,9,20,68,30,28,2.18,3.9,14.42,3,5,12,165,126,126,7,1.89,1.81,1.81,20.58,20.58,19.63,77.09,11.56,6.08,14.59,2.76,46.32,26.69,10.77,11.56,10.77,73,35,40,148,11,7,4,11,5,36,38,62,97,5,10,75,25,11,20,71,25,12,2.76,3.12,5.69,0,3,8,148,108,108,7,1.82,2.86,2.86,10.52,10.52,9.89
PIT,2012,PIT,PIT,Team Level,all,48,0.52,0.5,0.5,173905,1428.49,135.31,99.34,321.6,45.71,806.6,576.45,131.08,137.09,132.8,1438,547,650,2635,162,103,28,282,67,606,765,1276,1823,215,501,1489,1229,227,298,1469,406,110,44.01,48.3,43,52,57,53,2681.36,1985,2016.76,161,22.07,21.05,21.51,135.88,137.43,134.73,1399.1,123.77,96.31,319.42,45.89,790.03,575.6,118.32,122.99,117.57,1403,548,735,2686,119,102,27,290,65,619,756,1284,1832,222,517,1404,1102,266,263,1481,364,106,42.25,44.38,37.14,35,44,40,2654.37,1951,1930.28,141,21.3,23.59,23.85,121.22,120.4,117.4
PIT,2012,PIT,PIT,Team Level,5on5,48,0.51,0.49,0.5,137475,1100.98,87.64,72.84,258.13,35.27,612.42,460.69,85.51,89.42,87.23,1108,419,514,2041,107,80,22,214,56,443,627,1001,1420,178,424,1107,1129,182,223,1161,313,53,35.87,36.99,14.78,45,41,21,2087.36,1527,1558.76,132,15.01,15.33,15.79,86.86,88.42,87.47,1102.19,82.78,72.07,261,35.75,617.54,468.87,80.54,82.01,79.78,1111,427,587,2125,76,72,17,243,54,490,603,1035,1462,184,436,1044,1023,205,199,1211,268,59,33.99,33.04,15.75,29,29,18,2093.37,1538,1517.28,119,14.78,13.9,14.52,83.04,82.22,81.06
PIT,2012,PIT,PIT,Team Level,4on5,48,0.03,0.06,0.06,14897,12.1,0.94,0.61,1.46,0.34,3.86,11.78,0.94,0.94,0.94,16,3,5,24,1,0,0,1,0,2,15,15,18,19,41,132,56,24,19,14,5,0,0.36,0.59,0,0,1,0,24,19,19,18,0.14,0,0,1.09,1.09,1.09,197.36,27.13,17.09,41.09,6.76,119.21,63.73,24.73,27.13,24.73,198,77,93,368,29,23,6,35,5,88,95,169,246,22,49,136,10,8,28,180,62,33,5.05,7.1,14.99,6,10,13,368,275,275,3,4.44,6.83,6.47,25.11,25.11,23.91
PIT,2012,PIT,PIT,Team Level,5on4,48,0.92,0.9,0.91,14786,225.32,26.23,19.76,46.21,7.04,139.38,74.4,25.16,26.23,25.16,227,86,92,405,34,19,5,49,10,109,92,193,279,14,28,160,17,12,36,226,58,29,5.6,6.83,13.8,4,10,20,405,313,313,4,5.02,3.91,3.91,27.34,27.34,26.54,22.46,2.28,1.08,2.74,0.62,6.97,16.31,2.28,2.28,2.28,21,9,15,45,3,0,0,1,1,5,20,18,27,11,22,149,44,42,16,19,9,2,0.46,1.11,0.71,0,2,1,45,30,30,12,0.26,0,0,2.54,2.54,2.54
VAN,2012,VAN,VAN,Team Level,other,48,0.57,0.53,0.53,4679,90.37,14.8,6.16,17.98,3.03,47.65,36.36,14.32,14.8,14.32,93,33,35,161,15,3,0,21,6,37,44,78,111,7,12,81,15,12,12,84,25,17,3.11,3.15,8.54,5,3,7,161,126,126,3,1.68,0.34,0.57,15.92,15.92,15.42,80.44,11.32,5.37,16.13,2.54,43.27,31.37,10.51,11.32,10.51,84,26,32,142,9,10,3,15,2,37,37,75,101,5,10,95,21,20,9,72,23,15,2.38,2.68,6.26,2,1,6,142,110,110,4,1.48,3.4,3.4,9.41,9.41,9.09
VAN,2012,VAN,VAN,Team Level,all,48,0.51,0.52,0.51,176623,1363.3,119.11,94.94,312.81,45.58,770.26,571.28,115.43,120.01,116.3,1351,563,710,2624,122,72,20,335,46,631,709,1229,1792,225,535,1365,1020,324,342,1472,335,107,41.08,39.15,38.88,44,33,45,2641.37,1914,1930.13,220,20.89,15.16,18.65,121.36,121.97,119.42,1344.73,116.13,94.57,303.54,43.98,749.72,558.06,112.02,115.23,111.14,1389,477,566,2432,115,91,19,331,46,588,696,1274,1751,217,517,1503,1056,370,323,1415,357,94,40.97,43.95,31.21,44,34,37,2408.31,1866,1847.35,185,20.77,20.45,21.25,115.66,114.78,112.8
VAN,2012,VAN,VAN,Team Level,5on5,48,0.5,0.51,0.5,140158,1042.32,81.11,69.01,248.91,35.26,583.4,441.31,78.8,82.01,79.67,1034,425,536,1995,84,58,19,270,30,485,533,950,1375,186,456,1017,954,259,282,1136,260,63,31.85,30.03,19.23,35,23,26,2012.37,1459,1475.13,196,14.21,13.1,16.23,79.1,79.71,78.5,1036.31,81.49,69.07,242.85,34.19,575.31,437.1,79.11,80.59,78.23,1074,366,442,1882,80,68,14,263,36,455,539,994,1360,184,446,1126,975,296,254,1117,267,56,33.37,32.91,15.21,39,22,19,1858.31,1440,1421.35,159,14.2,14.3,14.99,80.7,79.82,78.75
VAN,2012,VAN,VAN,Team Level,4on5,48,0.12,0.12,0.13,16056,30.72,2.75,1.49,4.08,0.86,9.01,22.81,2.75,2.75,2.75,28,13,9,50,0,0,0,2,0,4,35,28,41,13,26,129,38,40,18,32,4,5,0.89,0.47,1.38,0,0,0,50,41,41,16,0.34,0,0,3.09,3.09,3.08,196.59,20.82,18.7,40.38,6.35,122,64.74,19.9,20.82,19.9,193,80,87,360,24,13,2,47,6,94,89,169,249,14,31,148,20,17,45,194,58,21,4.45,7.23,9.13,2,10,12,360,273,273,7,4.74,2.75,2.85,22.7,22.7,22.12
VAN,2012,VAN,VAN,Team Level,5on4,48,0.89,0.9,0.87,15730,199.9,20.45,18.29,41.83,6.44,130.19,70.8,19.57,20.45,19.57,196,92,130,418,23,11,1,42,10,105,97,173,265,19,41,138,13,13,30,220,46,22,5.22,5.49,9.73,4,7,12,418,288,288,5,4.66,1.71,1.86,23.25,23.25,22.42,31.39,2.5,1.44,4.19,0.89,9.13,24.86,2.5,2.5,2.5,38,5,5,48,2,0,0,6,2,2,31,36,41,14,30,134,40,37,15,32,9,2,0.77,1.13,0.61,1,1,0,48,43,43,15,0.34,0,0,2.85,2.85,2.85
DET,2012,DET,DET,Team Level,other,48,0.58,0.53,0.57,5345,78.37,13.88,5.39,14.45,2.58,40.71,30.99,13.32,13.88,13.32,76,32,32,140,15,4,3,16,4,32,37,61,93,5,10,89,19,16,13,61,36,11,2.23,4.76,6.89,4,4,7,140,108,108,9,1.51,1.39,1.39,14.01,14.01,13.53,59.9,10.1,4.19,11.8,2.24,33.24,20.44,9.78,10.1,9.78,57,25,43,125,11,4,3,9,2,23,33,46,71,4,8,55,22,10,12,48,22,12,1.9,2.63,5.57,1,2,8,125,82,82,5,1.24,1.19,1.19,10.14,10.14,9.93
DET,2012,DET,DET,Team Level,all,48,0.52,0.54,0.54,175664,1467.82,124.3,102.74,334.25,47.83,837.78,613.1,120.61,124.95,121.25,1448,612,675,2735,122,79,23,359,69,655,777,1326,1938,190,423,1387,865,285,366,1599,381,80,44.58,46.54,33.18,37,51,34,2750.73,2060,2068.69,197,22.54,19.59,21.66,125.18,125.64,123.08,1278.49,113.7,88.51,287.24,42.46,710.1,538,110.36,113.91,110.54,1322,458,560,2340,110,95,24,290,47,546,692,1212,1670,206,466,1343,1051,304,341,1355,321,104,38.04,38.88,36.78,29,45,36,2335.69,1780,1777.38,206,19.53,21.73,22.64,110.58,110.75,109
DET,2012,DET,DET,Team Level,5on5,48,0.52,0.54,0.53,138739,1118.39,83.85,74,265.24,36.32,632.26,471.33,81.5,84.51,82.14,1113,450,506,2069,75,56,12,294,56,481,602,1038,1488,161,365,991,777,233,276,1232,282,49,35.49,33.96,14.41,29,32,14,2084.73,1563,1571.69,156,15.21,12.56,14.14,84.93,85.39,83.94,984.88,76.56,64.79,231.32,32.69,543.21,418.43,74.5,76.77,74.69,1025,342,425,1792,67,75,15,242,39,411,533,958,1300,177,408,1036,960,232,277,1069,235,63,30.55,28.33,17.69,21,32,14,1787.69,1367,1364.38,184,13.34,14.93,15.84,74.05,74.23,73.41
DET,2012,DET,DET,Team Level,4on5,48,0.08,0.1,0.13,14551,27.91,2.03,1.27,3.71,0.79,8.34,24.86,2.01,2.03,2.01,26,15,1,42,2,0,0,3,1,6,29,24,39,10,20,132,46,23,29,35,6,0,1.08,0.95,0,0,2,0,42,41,41,28,0.29,0,0,2.32,2.32,2.3,196.04,23.47,17.72,39.33,6.42,123.13,66.92,22.53,23.47,22.53,198,79,89,366,27,14,6,31,5,110,90,171,250,16,32,125,23,8,37,198,54,25,4.55,6.59,12.33,6,7,14,366,277,277,3,4.54,5.29,5.29,22.72,22.72,21.99
