team...1,season,name,team...4,position,situation,games_played,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penaltyMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penaltyMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
STL,2016,STL,STL,Team Level,other,82,0.47,0.41,0.43,9858,113.18,27.95,7.03,19.1,3.44,55.44,45.04,26.77,27.95,26.77,116,42,47,205,31,6,3,24,3,47,47,85,127,8,19,134,32,19,25,92,28,38,3.39,3.22,21.34,2,7,22,205,158,158,14,2.01,2.96,2.96,26.99,26.99,26.58,155.66,31.84,10.98,26.68,4.99,82.42,55.11,30.32,31.84,30.32,153,59,78,290,38,8,4,23,9,76,58,115,174,9,23,111,31,27,16,120,49,43,4.21,6.14,21.48,8,8,22,290,212,212,6,3.3,2.67,2.67,32.46,32.46,31
STL,2016,STL,STL,Team Level,all,82,0.5,0.49,0.5,297879,2291.38,208.51,158.24,519.31,72.88,1296.55,952.51,202.45,210.07,203.96,2331,877,1069,4277,233,149,33,552,79,955,1240,2098,2975,301,656,2438,1688,519,431,2436,593,179,69.52,69.91,69.09,74,79,80,4299.49,3208,3229.53,283,34.49,30.62,30.77,212.23,213.66,210.38,2333.66,205.8,157.88,532.78,73.88,1302.27,956.38,199.08,205.82,199.13,2327,902,1135,4364,216,150,33,607,96,913,1248,2111,3013,279,614,2411,1811,516,549,2470,575,184,68.32,70.25,67.22,71,69,76,4343.67,3229,3217.06,304,35.04,32.61,33.08,207.77,207.71,203.63
STL,2016,STL,STL,Team Level,5on5,82,0.51,0.5,0.5,239875,1817.72,138.94,120.97,429.38,58.27,1030.46,764.98,135.6,140.51,137.1,1836,707,872,3415,154,113,23,455,67,742,1012,1682,2389,265,581,1877,1587,433,342,1970,480,93,57.04,57.05,24.86,58,65,31,3437.49,2543,2564.53,233,24.91,20.74,20.88,142.97,144.4,142.48,1801.76,134.92,115.89,430.59,56.77,1000.65,756.17,130.97,134.94,131.03,1800,695,895,3390,138,118,23,504,72,685,979,1662,2357,251,550,1868,1680,421,450,1960,439,96,54.33,53.64,26.96,57,52,29,3369.67,2495,2483.06,268,23.9,24.36,24.83,133.99,133.94,132.12
STL,2016,STL,STL,Team Level,4on5,82,0.12,0.11,0.12,24825,44.97,4.67,2.26,5.49,1.31,12.83,38.44,4.57,4.67,4.57,52,13,7,72,2,2,0,9,2,9,41,50,63,17,34,202,47,52,35,46,12,7,1.25,1.49,1.94,0,0,2,72,65,65,33,0.52,0.34,0.34,4.85,4.85,4.81,328.78,34.86,28.78,68.73,10.84,205.62,109.18,33.62,34.86,33.62,328,130,152,610,35,22,6,71,14,145,171,293,423,12,27,244,34,15,58,345,72,41,8.67,8.43,17.75,5,6,24,610,458,458,6,7.33,5.13,5.13,37.05,37.05,36.24
STL,2016,STL,STL,Team Level,5on4,82,0.9,0.89,0.87,23321,315.5,36.95,27.97,65.34,9.86,197.84,104.04,35.52,36.95,35.52,327,115,143,585,46,28,7,64,7,157,140,281,396,11,22,225,22,15,29,328,73,41,7.84,8.15,20.96,14,7,25,585,442,442,3,7.05,6.58,6.58,37.41,37.41,36.51,47.45,4.18,2.23,6.78,1.3,13.58,35.93,4.16,4.18,4.16,46,18,10,74,5,2,0,9,1,7,40,41,59,7,14,188,66,53,25,45,15,4,1.11,2.04,1.03,1,3,1,74,64,64,24,0.51,0.45,0.45,4.26,4.26,4.25
DET,2016,DET,DET,Team Level,other,82,0.48,0.55,0.54,10354,176.77,26.22,12.67,32.72,5.74,96.7,63.96,24.27,26.22,24.27,175,63,70,308,18,13,5,32,11,66,98,157,220,7,14,149,41,23,21,143,64,31,5.27,7.82,13.12,2,4,12,308,238,238,5,3.7,5.67,5.88,24.02,24.02,23.42,146.62,28.07,9.78,26.6,4.69,74.02,59.84,26.11,28.07,26.11,149,54,53,256,34,7,2,24,3,52,83,115,169,10,20,111,47,40,30,106,61,36,4.39,7.46,16.21,9,10,15,256,203,203,15,2.77,2.03,2.03,28.81,28.81,27.37
DET,2016,DET,DET,Team Level,all,82,0.47,0.49,0.48,301114,2353.89,205.75,161.14,529.45,76.13,1323.32,974.22,198.55,205.36,198.23,2335,935,1016,4286,198,147,38,595,85,951,1294,2137,3072,295,672,2520,1644,432,669,2478,612,180,71.47,74,60.27,69,64,65,4259.93,3270,3254.65,351,35.7,36.38,38.31,203.13,202.98,199.31,2505.48,227.74,172.1,569.34,80.98,1397.36,1034.48,219.1,228.78,220.14,2510,972,1066,4548,244,160,43,549,70,1119,1340,2266,3238,312,707,2338,1809,482,716,2575,697,210,72.13,85.56,70.06,94,72,78,4584.17,3482,3506.97,413,37.84,34.27,35.65,229.94,231.12,225.69
DET,2016,DET,DET,Team Level,5on5,82,0.48,0.48,0.48,244668,1832.73,143.01,118.56,428.39,58.66,1021.25,774.12,139.08,142.61,138.76,1828,716,773,3317,144,102,22,488,66,739,1005,1684,2400,250,573,1938,1497,360,543,1976,451,117,56.33,53.64,33.03,59,48,37,3290.93,2544,2528.65,304,24.42,22.91,24.89,142.52,142.37,140.4,1967.85,153.72,128.69,464.64,63.25,1094.26,821.44,149.7,154.76,150.74,1956,770,840,3566,162,117,32,444,58,871,1074,1794,2564,276,626,1825,1654,376,598,2086,522,118,58.19,63.56,31.97,76,50,36,3602.17,2726,2750.97,355,26.53,22.65,23.69,156.57,157.74,155.49
DET,2016,DET,DET,Team Level,4on5,82,0.09,0.12,0.12,22127,48.46,4.2,2.41,6.42,1.47,14.26,39.24,4.14,4.2,4.14,47,21,18,86,3,2,1,7,0,11,45,44,65,13,32,194,80,32,37,51,13,4,1.23,1.88,1.09,1,2,0,86,68,68,36,0.56,0.22,0.22,4.54,4.54,4.53,342.65,41.11,31.28,72.02,11.65,215.4,111.54,38.46,41.11,38.46,347,136,160,643,39,35,8,77,8,181,143,308,444,11,28,228,39,9,49,333,101,49,8.33,12.86,19.92,5,10,24,643,483,483,6,8,9.35,9.69,39.42,39.42,37.69
DET,2016,DET,DET,Team Level,5on4,82,0.87,0.87,0.86,23965,295.95,32.32,27.5,61.91,10.26,191.1,96.89,31.06,32.32,31.06,285,135,155,575,33,30,10,68,8,135,146,252,387,25,53,239,26,17,68,308,84,28,8.63,10.67,13.02,7,10,16,575,420,420,6,7.03,7.58,7.31,32.05,32.05,30.95,48.35,4.84,2.36,6.08,1.39,13.67,41.66,4.83,4.84,4.83,58,12,13,83,9,1,1,4,1,15,40,49,61,15,33,174,69,57,39,50,13,7,1.21,1.67,1.96,4,2,3,83,70,70,37,0.55,0.24,0.24,5.15,5.15,5.14
PIT,2016,PIT,PIT,Team Level,other,82,0.52,0.44,0.43,10095,132.96,28.46,8.79,24.17,4.56,63.96,52.12,27.47,28.46,27.47,143,40,55,238,33,12,2,27,4,46,61,110,150,13,26,135,49,29,32,87,55,41,3.17,6.6,18.7,6,11,16,238,183,183,12,2.48,3.62,4.16,26.73,26.73,26.05,175.82,26.14,12.9,33.95,5.9,93.78,68.46,23.59,26.14,23.59,188,55,66,309,23,17,3,27,8,92,76,165,220,12,24,156,43,30,24,147,61,35,4.96,7.32,13.86,2,7,14,309,243,243,8,3.84,3.48,3.48,26.37,26.37,24.26
PIT,2016,PIT,PIT,Team Level,all,82,0.52,0.5,0.51,299390,2632.93,259.25,188.43,597.83,85.37,1444.74,1059.56,250.21,261.64,252.5,2751,901,1166,4818,278,235,55,626,127,1135,1251,2473,3374,305,655,2452,2060,532,658,2595,810,247,78.65,98.91,81.69,78,109,91,4871.67,3652,3690.39,321,41.45,51.98,52.91,246.68,248.75,243.63,2561.98,243,176.37,586.8,82.61,1389.35,1056.85,231.89,243.31,232.16,2671,878,1307,4856,229,236,44,547,105,1117,1315,2442,3320,304,654,2702,2352,538,596,2582,720,247,71.62,89.01,82.37,67,83,79,4840.08,3549,3540.22,331,39.36,50.15,52.48,228.92,228.95,222.48
PIT,2016,PIT,PIT,Team Level,5on5,82,0.52,0.5,0.51,241825,2080.69,181.23,143.13,490.26,67.13,1141.1,845.8,175.4,183.62,177.7,2165,713,936,3814,186,182,44,513,104,901,992,1979,2692,261,567,1895,1897,427,517,2110,617,151,64.41,76.3,40.54,63,79,44,3867.67,2878,2916.39,267,29.72,38.65,39.02,171.34,173.41,170.73,1979.74,166.53,129.19,474,63.66,1072.62,822.53,160.9,166.85,161.17,2046,690,1053,3789,151,174,31,456,81,842,1032,1895,2585,273,592,2095,2204,440,485,2035,548,153,57.04,67.82,41.67,50,64,37,3773.08,2736,2727.22,291,26.74,35.91,37.07,155.7,155.73,153.31
PIT,2016,PIT,PIT,Team Level,4on5,82,0.11,0.13,0.15,23292,55.52,5.21,2.72,7.3,1.6,16.72,44.58,5.19,5.21,5.19,57,23,13,93,5,0,0,9,3,9,54,52,75,14,28,166,79,62,43,54,21,5,1.51,2.39,1.31,0,4,1,93,80,80,38,0.62,0,0,5.71,5.71,5.67,334.48,41.2,30.47,70.06,10.99,203.4,111.15,38.59,41.2,38.59,356,115,172,643,48,38,9,52,13,169,151,308,423,14,28,245,39,23,58,344,81,46,8.25,9.55,23.4,14,9,25,643,471,471,9,7.91,9.18,10.34,38.5,38.5,36.61
PIT,2016,PIT,PIT,Team Level,5on4,82,0.83,0.85,0.84,24178,363.76,44.33,33.78,76.1,12.09,222.96,117.06,42.15,44.33,42.15,386,125,162,673,54,41,9,77,16,179,144,332,457,17,34,256,35,14,66,344,117,50,9.56,13.62,21.15,9,15,30,673,511,511,4,8.62,9.7,9.73,42.89,42.89,41.18,71.95,9.12,3.82,8.79,2.05,19.57,54.71,8.81,9.12,8.81,81,18,16,115,7,7,1,12,3,14,56,74,92,5,10,206,66,45,29,56,30,13,1.36,4.32,3.43,1,3,3,115,99,99,23,0.88,1.59,1.59,8.34,8.34,8.31
DAL,2016,DAL,DAL,Team Level,other,82,0.43,0.53,0.51,9902,143.64,22.89,11.07,27.14,5.37,88.28,49.26,21.7,22.89,21.7,142,62,78,282,26,14,2,25,9,66,64,116,178,4,11,117,19,20,23,134,40,30,4.44,5.04,13.4,8,4,14,282,204,204,14,3.18,3.78,3.96,22.11,22.11,21.54,142.6,30.76,10.18,25.3,4.97,75.25,50.54,28.83,30.76,28.83,138,59,58,255,39,13,3,18,4,59,64,99,158,6,15,127,33,12,22,101,52,44,3.42,6.17,21.17,7,12,20,255,197,197,11,2.88,4.52,4.47,29.17,29.17,28.28
DAL,2016,DAL,DAL,Team Level,all,82,0.48,0.5,0.51,297607,2597.01,240.84,179.96,595.28,85.72,1463.27,1047,230.97,240.45,230.54,2506,1107,1277,4890,222,227,46,535,96,1153,1380,2284,3391,306,726,2551,1552,531,789,2685,685,243,75.61,82.95,82.29,72,75,75,4858.14,3613,3591.97,409,39.84,48.9,49.57,231.12,230.58,224.8,2528.86,260.94,174.98,581.48,84.08,1375.29,1017.22,248.49,262.19,249.78,2442,1052,1330,4824,260,244,47,528,83,1100,1279,2182,3234,313,742,2560,1529,498,708,2520,678,296,72.97,84.07,103.91,79,88,93,4854.34,3494,3514.37,383,38.84,57.46,57.93,241.85,243.2,238.2
DAL,2016,DAL,DAL,Team Level,5on5,82,0.49,0.5,0.51,242233,2031.56,165.18,133.2,486.63,66.49,1126.93,835.63,159.37,164.79,158.94,1970,845,1037,3852,149,178,36,439,74,880,1095,1821,2666,265,632,2022,1445,458,671,2136,528,151,59.43,63.47,42.29,50,61,38,3820.14,2815,2793.96,359,27.57,35.15,35.92,156.84,156.3,153.66,1983.46,169.1,131.5,478.36,65.93,1084.31,816.81,162.85,170.35,164.13,1911,835,1096,3842,155,173,31,452,65,870,1031,1756,2591,280,667,2007,1427,433,584,2056,533,157,58.97,66.13,44,61,59,35,3872.34,2746,2766.37,331,27.26,36.52,37.13,159.23,160.58,158.04
DAL,2016,DAL,DAL,Team Level,4on5,82,0.1,0.12,0.13,21717,52.93,6.14,2.57,7.31,1.52,15.39,39.06,6.05,6.14,6.05,49,23,12,84,5,3,0,8,0,11,45,44,67,18,39,176,61,40,32,48,15,9,1.35,2.15,2.64,1,3,1,84,72,72,28,0.6,0.63,0.63,6.11,6.11,6.1,336.39,52.93,29.92,69.51,11.36,196.58,101.71,48.86,52.93,48.86,323,139,162,624,55,53,12,49,11,157,137,268,407,18,36,225,19,14,66,306,76,80,8.87,9.63,34.42,7,15,33,624,462,462,8,7.92,15.27,15.18,45.66,45.66,44.14
DAL,2016,DAL,DAL,Team Level,5on4,82,0.85,0.87,0.85,23755,368.87,46.63,33.11,74.19,12.34,232.67,123.06,43.84,46.63,43.84,345,177,150,672,42,32,8,63,13,196,176,303,480,19,44,236,27,13,63,367,102,53,10.39,12.28,23.96,13,7,22,672,522,522,8,8.49,9.33,9.06,46.06,46.06,43.5,66.41,8.15,3.38,8.31,1.83,19.15,48.16,7.95,8.15,7.95,70,19,14,103,11,5,1,9,3,14,47,59,78,9,24,201,50,39,36,57,17,15,1.7,2.14,4.31,4,2,5,103,89,89,33,0.79,1.15,1.15,7.78,7.78,7.75
T.B,2016,T.B,T.B,Team Level,other,82,0.49,0.51,0.51,10741,148.67,27.1,10.42,26.46,5.02,84.28,54.74,25.43,27.1,25.43,136,72,58,266,30,6,1,28,9,72,63,106,178,11,22,128,39,33,34,121,62,25,5.05,7.39,14.67,6,9,15,266,208,208,13,2.96,2.12,2.37,27.69,27.69,26.75,146.49,28.53,10.02,26.53,4.51,78.81,54.6,27.12,28.53,27.12,151,52,50,253,29,9,4,33,7,60,65,122,174,13,26,149,33,24,26,116,49,38,4.2,5.83,18.49,4,8,17,253,203,203,15,2.95,3.68,3.68,27.8,27.8,27.15
T.B,2016,T.B,T.B,Team Level,all,82,0.52,0.51,0.51,299288,2475.32,240.46,174.35,558.07,80.04,1403.08,1014,231.36,240.72,231.54,2454,1016,1135,4605,230,168,33,613,84,1118,1257,2224,3240,343,787,2376,1842,502,710,2514,751,205,75.62,90.61,74.23,66,87,77,4589.07,3470,3462.74,400,38.66,36.22,36.97,242.15,241.97,236.32,2435.46,225.42,171.21,551.25,78.9,1377.9,996.32,218.35,226.79,219.69,2492,909,1014,4415,224,162,33,605,99,1052,1259,2268,3177,345,808,2609,1843,509,659,2506,707,188,73.02,85.46,66.94,79,77,68,4440.68,3401,3422,374,37.95,36.21,36.5,226.87,228.28,224.05
T.B,2016,T.B,T.B,Team Level,5on5,82,0.51,0.51,0.51,238624,1920.83,160.82,129.14,453.84,61.82,1079.31,808.06,155.84,161.08,156.01,1897,796,902,3595,140,132,24,496,66,850,1009,1757,2553,302,705,1801,1698,381,550,2014,559,120,60.08,67.61,33.13,46,63,31,3579.07,2693,2685.74,339,26.69,28.03,28.47,159.04,158.87,156.35,1887.67,153.7,126.96,441.72,60.73,1057.52,789.38,150.05,155.06,151.39,1910,720,791,3421,146,120,23,486,75,788,1015,1764,2484,302,714,1985,1701,423,514,1975,551,104,58.13,66.61,28.96,62,57,27,3446.68,2630,2651,319,26.23,23.97,24.84,155.08,156.49,154.41
T.B,2016,T.B,T.B,Team Level,4on5,82,0.13,0.1,0.11,25070,45.39,5.83,2.51,5.84,1.27,12.77,33.78,5.67,5.83,5.67,53,9,10,72,4,4,1,6,0,11,37,49,58,13,26,204,71,71,43,40,13,9,1.04,1.83,2.96,0,1,3,72,62,62,37,0.57,0.97,0.97,5.43,5.43,5.41,354.34,38.9,31.85,75.92,12.22,227.08,115.02,36.93,38.9,36.93,377,124,166,667,43,30,6,82,15,195,136,334,458,20,48,257,40,18,82,368,90,43,9.28,10.96,18.66,10,10,23,667,501,501,6,8.22,8.17,7.58,39.53,39.53,38.04
T.B,2016,T.B,T.B,Team Level,5on4,82,0.92,0.9,0.88,24853,360.45,46.71,32.29,71.92,11.94,226.72,117.43,44.44,46.71,44.44,368,139,165,672,56,26,7,83,9,185,148,312,451,17,34,243,34,17,83,339,117,51,9.45,13.79,23.47,14,14,28,672,507,507,11,8.44,5.09,5.16,49.99,49.99,47.82,46.95,4.29,2.38,7.08,1.45,14.48,37.31,4.24,4.29,4.24,54,13,7,74,6,3,0,4,2,9,43,48,61,10,20,218,69,44,37,47,17,3,1.41,2.05,0.84,3,2,1,74,67,67,34,0.56,0.4,0.4,4.45,4.45,4.44
WSH,2016,WSH,WSH,Team Level,other,82,0.43,0.44,0.44,13228,121.59,21.9,8.36,21.83,3.93,64.14,47.85,21.14,21.9,21.14,116,52,44,212,25,6,2,21,4,64,48,91,143,3,6,114,44,32,36,99,42,27,3.89,5.11,12.91,6,7,12,212,168,168,19,2.4,1.94,1.94,22.36,22.36,21.92,154.31,29.3,10.88,29.81,5.24,83.03,54.73,26.55,29.3,26.55,151,62,55,268,19,18,4,32,9,64,71,132,194,6,20,122,34,35,21,120,53,40,4.57,6.54,18.19,3,4,12,268,213,213,12,3.11,5.71,5.71,26.7,26.7,25.18
WSH,2016,WSH,WSH,Team Level,all,82,0.5,0.52,0.52,298389,2495.53,231.91,171.18,562.39,79.73,1386.14,1054.73,224.38,235.02,227.45,2495,992,1191,4678,261,170,32,627,68,1100,1261,2234,3226,328,708,2385,1727,643,853,2597,691,199,78.16,83.29,70.45,81,101,79,4768.83,3487,3548.22,487,37.73,34.4,35.04,234.53,237.6,232.64,2358.59,230.66,164.95,544.78,76.73,1302.74,955.14,219.95,228.81,218.16,2282,993,1102,4377,177,201,41,584,91,1038,1184,2105,3098,301,663,2400,1758,676,792,2392,644,239,69.13,78.65,82.89,45,57,75,4299.12,3275,3225.8,512,36.64,46.41,47.01,220.3,218.43,212.69
WSH,2016,WSH,WSH,Team Level,5on5,82,0.51,0.52,0.51,235665,1932.28,155.55,127.02,452.97,61.36,1071.44,825.72,151.72,158.67,154.78,1941,754,961,3656,178,132,24,511,50,805,1019,1763,2517,299,647,1808,1563,503,696,2063,521,111,62.18,63.16,30.21,67,78,33,3746.83,2695,2756.22,409,26.15,25.88,26.51,155.12,158.21,155.98,1833.52,151.63,121.94,440.9,59.1,1006.98,761.46,146.19,149.79,144.39,1786,756,858,3400,112,145,27,489,60,794,942,1674,2430,257,561,1822,1627,541,648,1929,477,136,55.68,58.16,37.79,37,39,36,3322.12,2542,2492.8,438,25.23,32.24,32.83,144.03,142.16,139.73
WSH,2016,WSH,WSH,Team Level,4on5,82,0.13,0.15,0.18,26580,68.07,6.57,3.42,8.93,1.94,18.3,58.84,6.36,6.57,6.36,85,13,12,110,6,4,2,13,0,23,52,79,92,11,25,227,89,69,53,72,16,10,1.67,2,2.91,1,3,2,110,98,98,53,0.8,1.19,1.19,6.18,6.18,6.14,324.34,44.07,29.76,67.97,11.07,199.55,102.58,41.61,44.07,41.61,297,158,172,627,43,36,10,58,19,170,129,254,412,28,62,260,45,26,65,303,99,53,7.92,12.16,23.99,5,13,25,627,455,455,7,7.75,7.78,7.78,44.03,44.03,42.26
WSH,2016,WSH,WSH,Team Level,5on4,82,0.89,0.9,0.89,22916,373.58,47.88,32.38,78.66,12.5,232.26,122.33,45.16,47.88,45.16,353,173,174,700,52,28,4,82,14,208,142,301,474,15,30,236,31,39,68,363,112,51,10.43,13.03,24.42,7,13,32,700,526,526,6,8.37,5.4,5.4,50.85,50.85,48.6,46.43,5.67,2.36,6.1,1.32,13.17,36.37,5.6,5.67,5.6,48,17,17,82,3,2,0,5,3,10,42,45,62,10,20,196,52,74,58,40,15,10,0.96,1.79,2.92,0,1,2,82,65,65,55,0.55,0.67,0.67,5.55,5.55,5.52
COL,2016,COL,COL,Team Level,other,82,0.51,0.59,0.61,14656,163.24,27.64,13.82,29.01,5.55,98.91,49.06,25.18,27.64,25.18,159,65,60,284,21,15,1,29,6,89,64,138,203,9,24,117,26,28,13,138,51,35,4.84,6.35,16.45,8,3,10,284,224,224,4,3.9,4.35,4.35,27.19,27.19,25.3,102.06,26.72,7,17.1,3.34,52.61,36.23,25.48,26.72,25.48,103,40,51,194,23,10,4,13,5,43,49,80,120,9,24,95,25,32,19,63,44,36,2.18,5.52,19.02,1,3,19,194,143,143,10,1.98,2.9,3,25.71,25.71,24.75
COL,2016,COL,COL,Team Level,all,82,0.45,0.49,0.48,297227,2274.53,192.15,157.51,517.58,74.63,1308.74,964.39,183.79,190.42,182.13,2304,911,1130,4345,165,166,23,555,88,938,1303,2139,3050,316,707,2631,1687,598,567,2546,504,165,72.06,60.95,59.14,67,52,46,4248.53,3215,3159.77,305,34.6,35.23,36,190.75,189.07,183.74,2486.37,235.28,171.57,567.32,81.22,1410.31,1044.3,223.47,238.66,226.7,2603,907,1076,4586,276,201,44,616,101,1000,1316,2327,3234,287,644,2276,1284,673,521,2631,650,229,72.66,78.36,84.26,92,99,85,4708.68,3510,3587.74,271,37.54,45.58,46.48,226.34,229.52,223.15
COL,2016,COL,COL,Team Level,5on5,82,0.46,0.49,0.48,234975,1791.08,128.62,115.87,427.25,58.54,1023.15,780.58,125.11,126.89,123.45,1814,720,909,3443,114,113,13,465,72,710,1060,1700,2420,287,643,2019,1553,494,463,2061,388,85,58.22,46.92,23.48,55,42,17,3346.53,2534,2478.77,265,23.73,21.67,22.58,129.77,128.09,126.37,1976.02,153.55,130.91,469.59,64.68,1123.69,846.59,148.09,156.93,151.31,2073,716,858,3647,193,147,28,537,73,775,1064,1880,2596,247,556,1792,1179,545,428,2169,495,125,59.81,59.56,34.18,76,84,33,3769.68,2789,2866.74,237,26.91,29.94,30.61,149.85,153.03,150.61
COL,2016,COL,COL,Team Level,4on5,82,0.08,0.12,0.13,24629,51.74,4.52,2.71,6.69,1.5,15.32,45.26,4.49,4.52,4.49,60,16,14,90,4,2,1,8,2,12,48,56,72,12,24,252,76,61,38,55,16,5,1.28,2.05,1.19,1,1,2,90,76,76,30,0.64,0.16,0.16,4.99,4.99,4.98,361.92,51.2,31.65,74.24,11.84,221.53,116.55,46.26,51.2,46.26,367,140,160,667,58,40,12,60,22,170,157,309,449,22,44,240,21,23,51,343,100,64,9.31,12.02,29.85,13,12,33,667,507,507,2,8.19,11.72,11.85,47.53,47.53,44.54
COL,2016,COL,COL,Team Level,5on4,82,0.89,0.87,0.84,22967,268.47,31.37,25.12,54.62,9.05,171.35,89.49,29.02,31.37,29.02,271,110,147,528,26,36,8,53,8,127,131,245,355,8,16,243,32,15,53,292,49,40,7.73,5.62,18.02,3,6,17,528,381,381,6,6.33,9.06,8.91,28.78,28.78,27.09,46.36,3.81,2.02,6.4,1.36,12.47,44.93,3.64,3.81,3.64,60,11,7,78,2,4,0,6,1,12,46,58,69,9,20,149,59,73,23,56,11,4,1.35,1.25,1.21,2,0,0,78,71,71,22,0.46,1.02,1.02,3.25,3.25,3.24
MTL,2016,MTL,MTL,Team Level,other,82,0.48,0.48,0.48,8980,137.65,25.21,9.95,25.3,4.47,68.02,52.05,23.65,25.21,23.65,131,54,58,243,24,12,2,27,7,59,56,107,161,14,50,120,39,26,31,94,59,32,3.64,7.37,14.19,3,9,12,243,185,185,21,2.85,3.18,3.18,24.88,24.88,23.65,149.16,26.89,10.61,26.12,4.93,77.19,56.26,24.9,26.89,24.9,146,56,57,259,19,7,1,27,2,70,78,127,183,14,31,141,39,26,26,106,65,31,4.29,8.63,13.96,5,6,8,259,202,202,21,3.07,2.06,2.26,27.7,27.7,26.1
MTL,2016,MTL,MTL,Team Level,all,82,0.51,0.51,0.51,299242,2493.91,221.92,171.67,584.18,80.65,1376.23,1013.36,213.19,223.44,214.71,2460,988,1287,4735,223,205,34,552,103,1093,1272,2237,3225,300,697,2516,1864,531,933,2609,625,214,73.51,77.2,71.21,84,70,69,4760.01,3448,3466.44,729,37.44,42.58,42.58,216.79,218.13,213.76,2353.35,215.26,162.26,539.04,75.71,1305.5,973.24,207.43,215.71,207.89,2429,842,1213,4484,198,149,29,645,78,1052,1150,2231,3073,279,620,2483,2351,511,931,2454,622,195,70.89,76.91,67.46,78,67,53,4487.18,3271,3278.49,707,35.89,32.65,33.22,217.92,218.38,213.36
MTL,2016,MTL,MTL,Team Level,5on5,82,0.53,0.53,0.52,245680,2051.46,161.98,137.29,498.16,66.61,1132.31,840.65,155.88,163.49,157.4,2040,797,1103,3940,154,175,30,486,76,896,1050,1886,2683,261,595,2027,1709,434,790,2195,509,133,61.97,63.05,36.96,68,52,34,3965.01,2837,2855.44,632,28.43,34.4,34.4,156.02,157.37,155.07,1850.16,146.17,121.21,445.29,59.6,1024.73,777,142.06,146.62,142.52,1910,664,985,3559,129,112,18,542,65,813,913,1781,2445,248,555,1921,2195,400,784,1989,470,115,57.22,57.8,31.14,62,49,18,3562.18,2574,2581.48,608,25.1,23.37,23.74,147.52,147.98,145.73
MTL,2016,MTL,MTL,Team Level,4on5,82,0.1,0.1,0.12,22849,41.15,4.3,1.89,5.43,1.16,11.56,32.66,4.29,4.3,4.29,44,13,10,67,5,1,0,8,2,8,33,39,52,11,22,193,77,54,74,39,11,7,1.03,1.4,1.87,3,1,1,67,57,57,71,0.43,0.33,0.33,4.41,4.41,4.39,306.35,38.11,28.07,61.68,9.83,190.22,98.08,36.42,38.11,36.42,316,110,152,578,44,28,9,73,10,158,113,272,382,14,28,236,30,23,43,306,77,43,8.18,9.2,20.74,10,9,25,578,426,426,6,7.17,6.75,6.75,38.54,38.54,37.37
